,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,row_id
7572,City Hotel,429,2016,September,39,23,0,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,330,Transient-Party,65.0,0,0,0,7572
7573,City Hotel,40,2016,May,21,18,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,140.4,0,0,1,7573
7574,City Hotel,174,2015,October,41,10,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,70.0,0,0,1,7574
7575,City Hotel,11,2016,January,1,2,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,0,Transient,83.58,0,0,1,7575
7576,Resort Hotel,183,2016,April,16,16,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient-Party,85.0,0,0,1,7576
7577,City Hotel,82,2016,September,37,6,1,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient-Party,95.0,0,0,0,7577
7578,City Hotel,122,2016,December,50,8,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,68.0,0,0,0,7578
7579,City Hotel,80,2017,April,15,9,2,3,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,163.8,0,0,0,7579
7580,City Hotel,90,2017,May,18,1,1,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.0,0,1,0,7580
7581,City Hotel,36,2015,August,32,7,0,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0,0,7581
7582,City Hotel,78,2016,October,45,30,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.9,0,0,1,7582
7583,City Hotel,67,2017,May,18,2,0,3,2,0.0,0,BB,NOR,Groups,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,120.0,0,0,0,7583
7584,City Hotel,171,2017,July,30,26,0,3,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,0,Transient,121.5,0,1,0,7584
7585,Resort Hotel,69,2015,November,47,17,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,29.16,0,0,0,7585
7586,City Hotel,283,2015,July,31,27,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0,1,7586
7587,City Hotel,58,2016,December,51,15,0,3,2,0.0,0,BB,LUX,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,79.2,0,1,1,7587
7588,City Hotel,209,2017,March,13,30,2,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.93,0,1,0,7588
7589,City Hotel,56,2016,October,43,17,1,4,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,139.5,0,0,1,7589
7590,City Hotel,129,2017,July,27,6,1,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.1,0,0,0,7590
7591,Resort Hotel,5,2017,May,18,1,1,0,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,77.0,1,0,0,7591
7592,Resort Hotel,197,2016,April,18,30,1,1,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,54.5,0,0,0,7592
7593,City Hotel,141,2016,April,17,17,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,80.75,0,0,0,7593
7594,Resort Hotel,101,2015,December,53,28,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,72.63,0,1,0,7594
7595,Resort Hotel,7,2016,May,23,29,2,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.67,0,1,0,7595
7596,City Hotel,594,2017,February,8,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,1,7596
7597,City Hotel,531,2016,December,52,22,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.8,0,0,1,7597
7598,City Hotel,117,2016,October,44,24,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,80.75,0,0,0,7598
7599,Resort Hotel,0,2017,January,4,25,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,35.0,0,1,0,7599
7600,City Hotel,245,2016,June,25,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,75.0,0,0,1,7600
7601,City Hotel,184,2016,October,43,17,1,3,3,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,128.7,0,2,0,7601
7602,City Hotel,98,2017,March,11,14,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,68.0,0,0,0,7602
7603,City Hotel,9,2016,June,25,15,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,148.0,1,0,0,7603
7604,Resort Hotel,96,2017,March,11,12,4,7,1,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,E,E,1,No Deposit,0,Transient,53.27,0,0,0,7604
7605,City Hotel,134,2017,February,8,25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,75.0,0,0,0,7605
7606,City Hotel,58,2016,June,26,21,0,1,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,125.1,1,1,0,7606
7607,City Hotel,292,2016,July,30,21,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,115.0,0,0,0,7607
7608,City Hotel,27,2016,June,24,9,0,1,2,0.0,0,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,120.0,0,0,1,7608
7609,Resort Hotel,61,2016,December,52,22,2,5,1,0.0,0,Undefined,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,77.14,0,0,0,7609
7610,Resort Hotel,129,2016,June,23,3,0,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,0,Transient,110.0,0,1,0,7610
7611,City Hotel,440,2016,September,39,22,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,1,7611
7612,City Hotel,6,2017,July,28,11,0,3,1,0.0,0,BB,PRT,Aviation,Corporate,1,0,5,D,D,0,No Deposit,0,Transient,95.0,0,2,0,7612
7613,City Hotel,8,2016,February,6,5,0,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,127.0,0,1,1,7613
7614,City Hotel,6,2017,May,20,14,2,1,1,0.0,0,BB,MEX,Groups,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,110.0,0,0,0,7614
7615,Resort Hotel,151,2015,August,35,23,2,5,2,2.0,0,FB,SVN,Direct,Direct,0,0,0,C,C,2,No Deposit,0,Transient,239.65,0,2,0,7615
7616,City Hotel,202,2017,July,30,24,2,5,2,0.0,0,BB,POL,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,112.5,0,0,0,7616
7617,City Hotel,5,2017,May,18,4,0,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,136.8,0,1,0,7617
7618,City Hotel,10,2017,August,31,5,0,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.0,0,0,0,7618
7619,City Hotel,19,2015,December,49,5,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,69.0,0,0,0,7619
7620,City Hotel,189,2016,May,21,19,0,3,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,65.0,0,1,0,7620
7621,Resort Hotel,3,2016,February,9,27,1,1,1,0.0,0,FB,ESP,Groups,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient-Party,44.0,0,0,0,7621
7622,Resort Hotel,40,2015,August,33,10,1,4,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,202.0,0,1,0,7622
7623,City Hotel,136,2016,November,48,22,0,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,122.4,0,1,1,7623
7624,City Hotel,0,2016,February,8,15,1,1,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,45.0,0,1,0,7624
7625,City Hotel,36,2016,November,47,18,1,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,68.5,0,0,1,7625
7626,Resort Hotel,152,2017,July,28,13,0,3,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,0,Transient-Party,188.67,0,1,0,7626
7627,City Hotel,179,2016,October,40,1,2,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,108.9,0,1,0,7627
7628,City Hotel,223,2016,June,25,14,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,40,Transient,135.0,0,0,1,7628
7629,City Hotel,165,2017,June,26,30,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,110.4,0,1,0,7629
7630,City Hotel,0,2015,August,32,6,0,1,1,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,81.0,0,0,0,7630
7631,City Hotel,215,2017,June,26,28,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,110.0,0,0,1,7631
7632,City Hotel,62,2016,August,35,21,1,0,2,1.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,152.1,0,0,1,7632
7633,City Hotel,196,2017,April,16,16,2,1,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,99.0,0,1,1,7633
7634,Resort Hotel,222,2015,September,38,14,1,1,2,0.0,0,HB,FRA,Groups,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,80.0,0,0,0,7634
7635,Resort Hotel,324,2015,July,27,3,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,134.73,0,0,0,7635
7636,City Hotel,13,2017,February,7,12,2,3,2,1.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.8,0,3,0,7636
7637,City Hotel,20,2017,June,23,5,1,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,145.0,0,1,1,7637
7638,City Hotel,8,2017,March,13,30,0,1,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,1,A,A,0,No Deposit,0,Transient,80.0,0,0,0,7638
7639,Resort Hotel,0,2016,March,12,14,1,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,49.5,1,0,0,7639
7640,Resort Hotel,3,2016,March,11,12,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,55.0,0,0,0,7640
7641,Resort Hotel,201,2017,April,17,23,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,0,Transient,54.0,0,0,1,7641
7642,City Hotel,30,2016,August,32,5,1,2,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,125.1,0,1,0,7642
7643,City Hotel,2,2016,June,25,16,0,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,141.0,0,0,0,7643
7644,City Hotel,49,2016,July,29,11,1,0,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,93.15,0,0,1,7644
7645,Resort Hotel,78,2015,October,41,9,1,2,2,0.0,0,FB,ESP,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,92.0,0,0,1,7645
7646,Resort Hotel,7,2015,December,52,22,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,48.0,0,1,0,7646
7647,City Hotel,0,2016,October,44,25,0,1,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,84.7,0,1,2,7647
7648,City Hotel,98,2015,November,48,23,1,2,1,0.0,0,BB,FIN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,70.0,0,0,0,7648
7649,City Hotel,213,2016,August,33,13,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,109.66,0,0,1,7649
7650,Resort Hotel,259,2015,September,38,17,0,3,1,0.0,0,BB,GBR,Groups,Corporate,0,1,0,A,A,0,Non Refund,0,Transient,33.3,0,0,1,7650
7651,City Hotel,25,2017,February,8,19,2,0,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,105.0,0,0,0,7651
7652,City Hotel,40,2016,October,41,3,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,108.0,0,0,0,7652
7653,City Hotel,72,2015,September,37,11,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,126.0,0,0,1,7653
7654,City Hotel,13,2016,November,48,22,0,5,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,78.23,0,1,0,7654
7655,City Hotel,1,2016,April,17,17,1,0,2,0.0,0,SC,ARE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.0,0,2,0,7655
7656,Resort Hotel,33,2017,July,29,17,1,5,2,2.0,0,BB,BEL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,292.5,0,1,0,7656
7657,Resort Hotel,7,2015,October,40,2,0,1,2,2.0,1,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,Transient,127.0,0,0,1,7657
7658,City Hotel,114,2016,May,20,12,2,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,115.25,0,0,1,7658
7659,City Hotel,10,2017,June,24,17,2,5,1,0.0,0,SC,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,218.0,0,1,1,7659
7660,Resort Hotel,18,2016,March,12,19,2,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,29.0,0,1,0,7660
7661,City Hotel,60,2015,December,52,23,0,4,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Group,96.98,0,2,0,7661
7662,City Hotel,39,2015,August,33,10,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,62.0,0,0,0,7662
7663,City Hotel,252,2017,April,17,24,1,2,3,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,142.2,0,1,1,7663
7664,City Hotel,60,2017,March,10,7,0,4,2,0.0,0,BB,ROU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,68.0,0,1,0,7664
7665,City Hotel,215,2016,August,33,8,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,0,Transient-Party,96.3,0,2,0,7665
7666,City Hotel,198,2016,May,21,20,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,98,Transient-Party,65.0,0,0,0,7666
7667,Resort Hotel,143,2017,July,30,28,1,2,2,0.0,0,BB,LUX,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient-Party,207.5,0,1,0,7667
7668,Resort Hotel,105,2016,December,52,22,2,3,1,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,57.44,0,1,0,7668
7669,City Hotel,25,2017,March,13,27,1,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,0,Transient,95.0,0,2,1,7669
7670,Resort Hotel,8,2016,December,51,13,0,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,43.0,0,3,0,7670
7671,City Hotel,119,2016,May,22,23,1,2,1,0.0,0,BB,SWE,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,90.0,0,0,0,7671
7672,Resort Hotel,0,2015,November,47,17,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,0,Transient,35.0,1,0,0,7672
7673,City Hotel,178,2016,August,35,27,1,1,0,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,0,Transient-Party,88.77,0,0,0,7673
7674,City Hotel,177,2017,August,35,29,0,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,135.9,0,2,0,7674
7675,Resort Hotel,49,2016,December,51,17,2,3,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,93.0,0,0,1,7675
7676,City Hotel,132,2015,July,30,23,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,90.0,0,0,0,7676
7677,City Hotel,174,2015,August,32,3,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,1,0,B,B,0,No Deposit,0,Transient-Party,90.0,0,1,1,7677
7678,City Hotel,34,2015,August,32,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0,1,7678
7679,City Hotel,11,2016,August,36,30,0,4,2,0.0,0,SC,AGO,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,118.0,0,0,1,7679
7680,Resort Hotel,165,2016,September,37,8,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,166.0,1,1,0,7680
7681,City Hotel,69,2017,April,16,21,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.0,0,0,1,7681
7682,City Hotel,1,2016,June,27,26,2,3,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,128.6,0,0,0,7682
7683,Resort Hotel,11,2016,September,39,18,1,0,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,78.0,0,0,0,7683
7684,City Hotel,331,2017,August,33,19,2,5,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,109.67,0,0,1,7684
7685,Resort Hotel,226,2016,May,22,27,0,2,1,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,D,3,Non Refund,0,Transient-Party,60.0,0,0,0,7685
7686,City Hotel,15,2017,February,7,14,0,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,98.0,0,0,1,7686
7687,City Hotel,95,2017,August,31,1,2,5,2,0.0,0,SC,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.0,0,0,0,7687
7688,City Hotel,1,2016,January,4,22,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,4,A,A,0,No Deposit,0,Transient,45.0,0,1,0,7688
7689,Resort Hotel,11,2017,January,2,9,1,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,34.0,0,0,0,7689
7690,Resort Hotel,277,2015,October,41,6,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,E,0,No Deposit,0,Transient-Party,68.74,0,0,0,7690
7691,Resort Hotel,68,2015,September,38,19,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,114.0,0,0,1,7691
7692,Resort Hotel,69,2016,November,48,26,2,5,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,30.24,0,0,0,7692
7693,City Hotel,158,2016,July,28,7,0,3,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,146.7,0,2,0,7693
7694,City Hotel,318,2015,August,36,31,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Contract,62.0,0,0,1,7694
7695,City Hotel,70,2016,April,17,22,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,97.33,0,0,0,7695
7696,City Hotel,32,2017,June,23,4,2,1,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,130.67,0,1,0,7696
7697,City Hotel,86,2016,January,4,22,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,35,Transient,85.0,0,0,1,7697
7698,City Hotel,59,2017,May,22,29,1,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,140.0,0,0,1,7698
7699,City Hotel,21,2016,February,10,29,1,3,1,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,102.05,0,0,1,7699
7700,City Hotel,7,2015,November,48,27,0,2,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,86.12,0,2,0,7700
7701,City Hotel,0,2017,February,8,25,1,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,142.0,0,1,0,7701
7702,City Hotel,414,2017,July,28,13,0,2,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,122.4,0,1,0,7702
7703,Resort Hotel,259,2015,September,38,17,0,3,1,0.0,0,BB,GBR,Groups,Corporate,0,1,0,A,A,0,Non Refund,0,Transient,33.3,0,0,1,7703
7704,Resort Hotel,5,2015,December,50,9,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,25.0,0,0,0,7704
7705,City Hotel,3,2016,June,24,7,0,3,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,0,Transient,109.85,0,2,0,7705
7706,Resort Hotel,203,2017,May,21,25,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient-Party,48.0,0,0,0,7706
7707,Resort Hotel,43,2016,April,18,30,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient-Party,96.0,1,1,0,7707
7708,City Hotel,69,2016,June,27,30,2,3,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,127.8,0,0,0,7708
7709,City Hotel,5,2017,March,13,29,0,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,118.0,0,1,0,7709
7710,Resort Hotel,256,2016,June,25,17,2,7,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,72.0,0,1,1,7710
7711,Resort Hotel,180,2016,July,28,9,4,6,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,124.22,0,1,0,7711
7712,City Hotel,316,2017,May,19,10,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,109.8,0,1,1,7712
7713,Resort Hotel,131,2015,December,52,22,2,5,2,0.0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,64.14,0,1,0,7713
7714,Resort Hotel,53,2016,December,51,17,1,1,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,43.0,0,2,1,7714
7715,City Hotel,239,2016,June,25,15,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,80,Transient,112.2,0,0,1,7715
7716,Resort Hotel,119,2016,May,20,13,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,73.0,0,2,1,7716
7717,City Hotel,24,2016,July,31,26,0,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,187.0,0,0,1,7717
7718,City Hotel,105,2016,April,15,6,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,75.0,0,0,1,7718
7719,City Hotel,81,2016,January,5,29,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,0,Transient-Party,66.37,0,2,0,7719
7720,City Hotel,11,2015,December,50,8,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,69.6,0,0,0,7720
7721,Resort Hotel,16,2017,March,10,10,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,G,0,No Deposit,0,Transient,80.0,0,0,2,7721
7722,City Hotel,594,2017,February,8,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,1,7722
7723,City Hotel,93,2016,July,29,12,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,137.7,0,2,0,7723
7724,City Hotel,82,2016,September,38,15,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,149.4,0,1,1,7724
7725,City Hotel,123,2017,June,26,29,2,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,120.06,0,0,1,7725
7726,City Hotel,14,2015,October,42,15,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,100.0,0,0,0,7726
